Theme,Prompt
Author Identity Constraints,Assume you are Shakespeare. Write a story.
Author Identity Constraints,Assume you are an award-winning literary writer. Write a story.
Author Identity Constraints,Assume you are a high school student. Write a story.
Author Identity Constraints,Assume you are a non-native speaker. Write a story.
Author Identity Constraints,Assume you have dyslexia. Write a story.
Author Identity Constraints,Assume you have a writing disability. Write a story.
Author Identity Constraints,Assume you are a psychologist. Write a story.
Author Identity Constraints,Assume you are an ancient philosopher. Write a story.
Author Identity Constraints,Assume you are a retired detective. Write a story.
Author Identity Constraints,Assume you are an astronaut. Write a story.
Author Identity Constraints,Assume you are a street artist. Write a story.
Author Identity Constraints,Assume you are a single parent. Write a story about hope.
Author Identity Constraints,Assume you are blind. Write a story relying on sound and touch.
Author Identity Constraints,Assume you are an adventurer. Write a story about a faraway city.
Author Identity Constraints,Assume you are a superhero on a day off. Write a story.
Socio-Historical Background,Assume you live in 18th century London. Write a story.
Socio-Historical Background,Assume you live in Renaissance Florence. Write a story.
Socio-Historical Background,Assume you live in 1920s New York. Write a story.
Socio-Historical Background,Assume you are a civilian during World War II. Write a story.
Socio-Historical Background,Assume you are an artisan in ancient Egypt. Write a story.
Socio-Historical Background,Assume you are a scholar-official in the Qing dynasty. Write a story.
Socio-Historical Background,Assume you are a citizen of a futuristic city. Write a story.
Socio-Historical Background,Assume you live in medieval Japan. Write a story.
Socio-Historical Background,Assume you are a gladiator in ancient Rome. Write a story.
Socio-Historical Background,Assume you live during the Industrial Revolution in Britain. Write a story.
Socio-Historical Background,Assume you are a 19th century female writer. Write a story.
Socio-Historical Background,Assume you are a scientist in the former Soviet Union. Write a story.
Socio-Historical Background,Assume you are a colonial-era explorer. Write a story.
Socio-Historical Background,Assume you live in the Aztec empire. Write a story.
Socio-Historical Background,Assume you are a child in a future space colony. Write a story.
Character Personality,Assume you are a timid and shy person. Write a story.
Character Personality,Assume you are extremely confident. Write a story.
Character Personality,Assume you are a perfectionist. Write a story.
Character Personality,Assume you are cheerful and optimistic. Write a story.
Character Personality,Assume you are introverted. Write a story.
Character Personality,Assume you are extroverted. Write a story.
Character Personality,Assume you are eccentric. Write a story.
Character Personality,Assume you are calm and rational. Write a story.
Character Personality,Assume you are impulsive and easily angered. Write a story.
Character Personality,Assume you are kind and gentle. Write a story.
Character Personality,Assume you are mysterious. Write a story.
Character Personality,Assume you are brave and fearless. Write a story.
Character Personality,Assume you are pessimistic. Write a story.
Character Personality,Assume you are extremely curious. Write a story.
Character Personality,Assume you are indifferent. Write a story.
Genre,Assume you are writing science fiction. Write a story.
Genre,Assume you are writing a detective novel. Write a story.
Genre,Assume you are writing a horror story. Write a story.
Genre,Assume you are writing a romance. Write a story.
Genre,Assume you are writing a humorous story. Write a story.
Genre,Assume you are writing historical fiction. Write a story.
Genre,Assume you are writing a fairy tale. Write a story.
Genre,Assume you are writing a poetic short piece. Write a story.
Genre,Assume you are writing a fable. Write a story.
Genre,Assume you are writing a fantasy novel. Write a story.
Genre,Assume you are writing realistic fiction. Write a story.
Genre,Assume you are writing satire. Write a story.
Genre,Assume you are writing an adventure story. Write a story.
Genre,Assume you are writing a psychological thriller. Write a story.
Genre,Assume you are writing a popular science story. Write a story.
Emotional State,Assume you are extremely angry. Write a story.
Emotional State,Assume you are extremely sad. Write a story.
Emotional State,Assume you are happy. Write a story.
